c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
gun,shot,gunshot,2,12.4,0.097973356,0.118726289,0.504784107208252,0.46786150336265564,0.590807318687439,1
snap,shot,snapshot,2,10.2,-0.273012797,-0.30001581899999996,0.26968786120414734,0.13701879978179932,0.25505757331848145,1
gun,shots,gunshots,2,12.4,0.097973356,0.118726289,0.4106409251689911,0.4009348154067993,0.5150934457778931,1
sling,shots,slingshots,2,10.3,-0.241733977,-0.182062803,0.36957022547721863,0.22271808981895447,0.38636741042137146,1
snap,shots,snapshots,2,10.2,-0.273012797,-0.30001581899999996,0.32067352533340454,0.1983000636100769,0.3202630579471588,1
floor,show,floorshow,2,12.5,0.359919785,0.43043049,0.16938309371471405,0.3105527460575104,0.30675458908081055,1
peep,show,peepshow,2,10.2,-0.273012797,-0.30001581899999996,0.40809720754623413,0.19018511474132538,0.40837857127189636,1
horse,show,horseshow,2,13.4,1.573218026,1.990441865,0.31905969977378845,0.1517220288515091,0.3298722505569458,1
side,show,sideshow,2,13.4,1.573218026,1.990441865,0.10722295194864273,0.2453986555337906,0.23563510179519653,1
thunder,shower,thundershower,1,12.5,0.359919785,0.43043049,0.34993353486061096,0.37744882702827454,0.4609091281890869,1
thunder,showers,thundershowers,1,12.5,0.359919785,0.43043049,0.30654048919677734,0.6504835486412048,0.6192184686660767,1
side,shows,sideshows,2,13.4,1.573218026,1.990441865,0.016899336129426956,0.18446210026741028,0.1361251175403595,1
love,sickness,lovesickness,2,13.4,1.573218026,1.990441865,0.2570205330848694,0.436951607465744,0.46206188201904297,1
home,sickness,homesickness,2,13.4,1.573218026,1.990441865,0.2541019022464752,0.4208644926548004,0.4723057746887207,1
air,sickness,airsickness,2,12.5,0.359919785,0.43043049,0.27945688366889954,0.42182138562202454,0.4719525873661041,1
sea,sickness,seasickness,2,13.0,1.306484599,1.4327814269999999,0.382232666015625,0.46748849749565125,0.5504459738731384,1
lake,side,lakeside,1,13.4,1.573218026,1.990441865,0.5742437243461609,0.07619179040193558,0.48440465331077576,1
curb,side,curbside,1,10.2,-0.33719670799999996,-0.36287832700000006,0.2970108389854431,0.040479980409145355,0.24295885860919952,1
near,side,nearside,1,12.5,0.359919785,0.43043049,0.10550561547279358,0.3027331233024597,0.2587396800518036,1
silver,side,silverside,1,12.5,0.359919785,0.43043049,0.25920039415359497,0.21217621862888336,0.31903040409088135,1
fire,side,fireside,1,13.4,1.573218026,1.990441865,0.060000620782375336,0.042392127215862274,0.07025932520627975,1
top,side,topside,1,10.2,-0.273012797,-0.30001581899999996,0.06255460530519485,0.1446174532175064,0.13243477046489716,1
sea,side,seaside,1,13.0,1.306484599,1.4327814269999999,0.3443058431148529,0.12115879356861115,0.3340870440006256,1
dock,side,dockside,1,10.5,-0.17075538899999998,-0.19607315600000003,0.5111669898033142,0.08752882480621338,0.4260745346546173,1
land,side,landside,1,11.0,-0.135056851,0.061003165,0.15908750891685486,0.08241140842437744,0.1650974303483963,1
country,side,countryside,1,10.7,-0.09635121,0.01442177,0.3996603488922119,0.06990744918584824,0.31168168783187866,1
river,side,riverside,1,12.5,0.359919785,0.43043049,0.5954112410545349,0.07708527147769928,0.49595239758491516,1
