c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
scab,lands,scablands,1,11.5,0.005046268,0.078805447,0
table,lands,tablelands,1,12.4,1.121993596,0.816758549,0
hinter,lands,hinterlands,1,10.8,-0.173428762,-0.141981303,0
ear,lap,earlap,1,10.8,-0.173428762,-0.141981303,0
tit,lark,titlark,1,10.7,-0.116539239,-0.194382968,0
sky,lark,skylark,1,9.07,-0.363695593,-0.391973263,0
sky,larks,skylarks,1,9.07,-0.363695593,-0.391973263,0
whip,lash,whiplash,1,11.8,0.182345297,0.291971694,0
wind,lasses,windlasses,1,9.76,-0.318197042,-0.33488751,0
pot,latch,potlatch,1,10.7,-0.116539239,-0.194382968,0
horse,laugh,horselaugh,1,12.4,1.121993596,0.816758549,0
horse,laughs,horselaughs,1,12.4,1.121993596,0.816758549,0
scoff,law,scofflaw,1,10.1,-0.279671509,-0.296796904,0
scoff,laws,scofflaws,1,10.1,-0.279671509,-0.296796904,0
mine,layer,minelayer,1,12.4,1.121993596,0.816758549,0
mine,laying,minelaying,1,12.4,1.121993596,0.816758549,0
liver,leaf,liverleaf,1,10.8,-0.173428762,-0.141981303,0
fly,leaf,flyleaf,1,9.07,-0.363695593,-0.391973263,0
jelly,leaf,jellyleaf,1,9.07,-0.363695593,-0.391973263,0
heart,leaf,heartleaf,1,10.7,-0.116539239,-0.194382968,0
leather,leaf,leatherleaf,1,10.8,-0.173428762,-0.141981303,0
velvet,leaf,velvetleaf,1,10.7,-0.116539239,-0.194382968,0
shin,leaf,shinleaf,1,10.1,-0.240944679,-0.258844284,0
satin,leaf,satinleaf,1,10.1,-0.240944679,-0.258844284,0
fly,leaves,flyleaves,1,9.07,-0.363695593,-0.391973263,0
horse,leech,horseleech,1,12.4,1.121993596,0.816758549,0
dog,leg,dogleg,1,9.99,-0.290908858,-0.285388135,0
rough,leg,roughleg,1,9,-0.36699758,-0.389517795,0
boot,leg,bootleg,1,10.7,-0.116539239,-0.194382968,0
bandy,leg,bandyleg,1,9.07,-0.363695593,-0.391973263,0
boot,legging,bootlegging,1,10.7,-0.116539239,-0.194382968,0
spindle,legs,spindlelegs,1,12.4,1.121993596,0.816758549,0
cow,lick,cowlick,1,8.85,-0.361912167,-0.374591008,0
boot,licker,bootlicker,1,10.7,-0.116539239,-0.194382968,0
cow,licks,cowlicks,1,8.85,-0.361912167,-0.374591008,0
high,light,highlight,1,9,-0.36699758,-0.389517795,0
lime,light,limelight,1,12.4,1.121993596,0.816758549,0
jack,light,jacklight,1,9.22,-0.35420812,-0.385010055,0
rush,light,rushlight,1,9,-0.36699758,-0.389517795,0
flood,light,floodlight,1,9.76,-0.318197042,-0.33488751,0
moon,lighter,moonlighter,1,10.1,-0.240944679,-0.258844284,0
high,lighter,highlighter,1,9,-0.36699758,-0.389517795,0
high,lighters,highlighters,1,9,-0.36699758,-0.389517795,0
moon,lighters,moonlighters,1,10.1,-0.240944679,-0.258844284,0
quick,lime,quicklime,1,9.22,-0.35420812,-0.385010055,0
brook,lime,brooklime,1,9.22,-0.35420812,-0.385010055,0
bird,lime,birdlime,1,9.76,-0.318197042,-0.33488751,0
air,line,airline,1,10.8,-0.173428762,-0.141981303,0
snap,line,snapline,1,11.8,0.182345297,0.291971694,0
dead,line,deadline,1,9.76,-0.318197042,-0.33488751,0
bread,line,breadline,1,9.76,-0.318197042,-0.33488751,0
bow,line,bowline,1,8.85,-0.361912167,-0.374591008,0
date,line,dateline,1,12.4,1.121993596,0.816758549,0
head,line,headline,1,9.76,-0.318197042,-0.33488751,0
balk,line,balkline,1,9.22,-0.35420812,-0.385010055,0
life,line,lifeline,1,12.4,1.121993596,0.816758549,0
bee,line,beeline,1,12.4,1.121993596,0.816758549,0
touch,line,touchline,1,9,-0.36699758,-0.389517795,0
jet,liner,jetliner,1,10.7,-0.116539239,-0.194382968,0
hard,liner,hardliner,1,9.76,-0.318197042,-0.33488751,0
air,liners,airliners,1,10.8,-0.173428762,-0.141981303,0
hard,liners,hardliners,1,9.76,-0.318197042,-0.33488751,0
bow,lines,bowlines,1,8.85,-0.361912167,-0.374591008,0
bread,lines,breadlines,1,9.76,-0.318197042,-0.33488751,0
